CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE_STAND,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CUSTOMER_ID
"Toys of Finland, Co.",Karttunen,Matti,+358902248555,Keskuskatu 45,Helsinki,Unknown,21240,Finland,17
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,18
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,19
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,20
Salzburg Collectables,Pipps,Georg,+4365629555,Geislweg 14,Salzburg,Unknown,5020,Austria,21
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,22
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,23
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,24
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,25
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,26
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,27
"Volvo Model Replicas, Co",Berglund,Christina,+460921123555,Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,28
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,29
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,30
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,31
Classic Legends Inc.,Hernandez,Maria,+12125558493,5905 Pompton St.,NYC,NY,10022,USA,32
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,33
"Classic Gift Ideas, Inc",Cervantes,Francisca,+12155554695,782 First Street,Philadelphia,PA,71270,USA,34
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,35
Canadian Gift Exchange Network,Tannamuri,Yoshi,+16045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,36
West Coast Collectables Co.,Thompson,Steve,+13105553722,3675 Furth Circle,Burbank,CA,94019,USA,37
Cambridge Collectables Co.,Tseng,Kyung,+16175555555,4658 Baden Av.,Cambridge,MA,51247,USA,38
Super Scale Inc.,Murphy,Leslie,+12035559545,567 North Pendale Street,New Haven,CT,97823,USA,39
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,40
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,41
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,42
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,43
Auto Assoc. & Cie.,Tonini,Daniel,+3330598555,"67, avenue de l'Europe",Versailles,Unknown,78000,France,44
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,45
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,46
Mini Wheels Co.,Murphy,Julie,+16505555787,5557 North Pendale Street,San Francisco,CA,Unknown,USA,47
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,48
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,49
Collectables For Less Inc.,Nelson,Allen,+16175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,50
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,51
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,52
Quebec Home Shopping Network,Fresnisre,Jean,+15145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,53
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,54
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,55
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,56
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,57
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,58
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,59
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,60
Daedalus Designs Imports,Rance,Martine,+3320161555,"184, chausse de Tournai",Lille,Unknown,59000,France,61
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,62
Mini Wheels Co.,Murphy,Julie,+16505555787,5557 North Pendale Street,San Francisco,CA,Unknown,USA,63
Osaka Souveniers Co.,Kentary,Mory,+81810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,64
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,65
Motor Mint Distributors Inc.,Hernandez,Rosa,+12155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,66
Tekni Collectables Inc.,Brown,William,+12015559350,7476 Moss Rd.,Newark,NJ,94019,USA,67
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,68
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,69
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,70
Atelier graphique,Schmitt,Carine,+3340322555,"54, rue Royale",Nantes,Unknown,44000,France,71
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,72
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,73
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,74
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,75
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,76
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,77
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,78
Auto Canal Petit,Perrier,Dominique,+33147556555,"25, rue Lauriston",Paris,Unknown,75016,France,79
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,80
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,81
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,82
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,83
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,84
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,85
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,86
Daedalus Designs Imports,Rance,Martine,+3320161555,"184, chausse de Tournai",Lille,Unknown,59000,France,87
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,88
Mini Wheels Co.,Murphy,Julie,+16505555787,5557 North Pendale Street,San Francisco,CA,Unknown,USA,89
Osaka Souveniers Co.,Kentary,Mory,+81810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,90
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,91
Vitachrome Inc.,Frick,Michael,+12125551500,2678 Kingston Rd.,NYC,NY,10022,USA,92
Tekni Collectables Inc.,Brown,William,+12015559350,7476 Moss Rd.,Newark,NJ,94019,USA,93
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,94
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,95
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,96
"Toys of Finland, Co.",Karttunen,Matti,+358902248555,Keskuskatu 45,Helsinki,Unknown,21240,Finland,97
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,98
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,99
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,100
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,101
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,102
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,103
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,104
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,105
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,106
Danish Wholesale Imports,Petersen,Jytte,+4531123555,Vinb'ltet 34,Kobenhavn,Unknown,1734,Denmark,107
Salzburg Collectables,Pipps,Georg,+4365629555,Geislweg 14,Salzburg,Unknown,5020,Austria,108
"Stylish Desk Decors, Co.",Brown,Ann,+441715550297,35 King George,London,Unknown,WX3 6FW,UK,109
Mini Creations Ltd.,Tam,Wing C,+15085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,110
"Toys of Finland, Co.",Karttunen,Matti,+358902248555,Keskuskatu 45,Helsinki,Unknown,21240,Finland,111
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,112
Alpha Cognac,Roulet,Annette,+3361776555,1 rue Alsace-Lorraine,Toulouse,Unknown,31000,France,113
"Double Decker Gift Stores, Ltd",Hardy,Thomas,+441715557555,120 Hanover Sq.,London,Unknown,WA1 1DP,UK,114
Enaco Distributors,Saavedra,Eduardo,+34932034555,"Rambla de Catalu¤a, 23",Barcelona,Unknown,8022,Spain,115
"Men 'R' US Retailers, Ltd.",Chandler,Michael,+12155554369,6047 Douglas Av.,Los Angeles,CA,Unknown,USA,116
Collectable Mini Designs Co.,Thompson,Valarie,+17605558146,361 Furth Circle,San Diego,CA,91217,USA,117
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,118
Quebec Home Shopping Network,Fresnisre,Jean,+15145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,119
Petit Auto,Dewey,Catherine,+3202555467,Rue Joseph-Bens 532,Bruxelles,Unknown,B-1180,Belgium,120
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,+16045554555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,121
Gifts4AllAges.com,Yoshido,Juri,+16175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,122
"Classic Gift Ideas, Inc",Cervantes,Francisca,+12155554695,782 First Street,Philadelphia,PA,71270,USA,123
giftsbymail.co.uk,Bennett,Helen,+441985558888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,124
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,125
Classic Legends Inc.,Hernandez,Maria,+12125558493,5905 Pompton St.,NYC,NY,10022,USA,126
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,127
Reims Collectables,Henriot,Paul,+3326471555,59 rue de l'Abbaye,Reims,Unknown,51100,France,128
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,+358981443655,Torikatu 38,Oulu,Unknown,90110,Finland,129
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,130
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,131
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,132
Gifts4AllAges.com,Yoshido,Juri,+16175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,133
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,134
"La Corne D'abondance, Co.",Bertrand,Marie,+33142342555,"265, boulevard Charonne",Paris,Unknown,75012,France,135
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,136
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,137
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,138
Mini Auto Werke,Mendel,Roland,+4376753555,Kirchgasse 6,Graz,Unknown,8010,Austria,139
"Stylish Desk Decors, Co.",Brown,Ann,+441715550297,35 King George,London,Unknown,WX3 6FW,UK,140
"Classic Gift Ideas, Inc",Cervantes,Francisca,+12155554695,782 First Street,Philadelphia,PA,71270,USA,141
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,142
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,143
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,144
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,145
Super Scale Inc.,Murphy,Leslie,+12035559545,567 North Pendale Street,New Haven,CT,97823,USA,146
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,147
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,148
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,149
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,150
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,151
Canadian Gift Exchange Network,Tannamuri,Yoshi,+16045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,152
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,153
"Volvo Model Replicas, Co",Berglund,Christina,+460921123555,Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,154
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,155
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,156
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,157
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,158
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,159
Quebec Home Shopping Network,Fresnisre,Jean,+15145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,160
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,161
Cruz & Sons Co.,Cruz,Arnold,+636325553587,15 McCallum Street - NatWest Center #13-03,Makati City,Unknown,1227 MM,Philippines,162
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,163
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,164
Collectables For Less Inc.,Nelson,Allen,+16175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,165
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,166
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,167
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,168
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,+4902215554327,Mehrheimerstr. 369,Koln,Unknown,50739,Germany,169
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,170
Auto Canal Petit,Perrier,Dominique,+33147556555,"25, rue Lauriston",Paris,Unknown,75016,France,171
"Vida Sport, Ltd",Holz,Michael,+410897034555,Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,172
Danish Wholesale Imports,Petersen,Jytte,+4531123555,Vinb'ltet 34,Kobenhavn,Unknown,1734,Denmark,173
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,174
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,175
Online Mini Collectables,Barajas,Miguel,+16175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,176
"Vida Sport, Ltd",Holz,Michael,+410897034555,Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,177
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,178
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,+4902215554327,Mehrheimerstr. 369,Koln,Unknown,50739,Germany,179
"Volvo Model Replicas, Co",Berglund,Christina,+460921123555,Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,180
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,181
Salzburg Collectables,Pipps,Georg,+4365629555,Geislweg 14,Salzburg,Unknown,5020,Austria,182
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,183
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,184
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,185
Salzburg Collectables,Pipps,Georg,+4365629555,Geislweg 14,Salzburg,Unknown,5020,Austria,186
Danish Wholesale Imports,Petersen,Jytte,+4531123555,Vinb'ltet 34,Kobenhavn,Unknown,1734,Denmark,187
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,188
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,189
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,190
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,191
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,192
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,193
Mini Creations Ltd.,Tam,Wing C,+15085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,194
Super Scale Inc.,Murphy,Leslie,+12035559545,567 North Pendale Street,New Haven,CT,97823,USA,195
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,196
"Clover Collections, Co.",Cassidy,Dean,+35335318621555,25 Maiden Lane,Dublin,Unknown,2,Ireland,197
CAF Imports,Fernandez,Jesus,+3434913728555,"Merchants House, 27-30 Merchant's Quay",Madrid,Unknown,28023,Spain,198
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,199
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,200
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,201
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,202
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,203
Heintze Collectables,Ibsen,Palle,+4586213555,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,204
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,205
"La Corne D'abondance, Co.",Bertrand,Marie,+33142342555,"265, boulevard Charonne",Paris,Unknown,75012,France,206
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,207
Reims Collectables,Henriot,Paul,+3326471555,59 rue de l'Abbaye,Reims,Unknown,51100,France,208
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,209
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,210
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,211
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,212
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,213
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,214
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,215
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,216
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,217
Mini Auto Werke,Mendel,Roland,+4376753555,Kirchgasse 6,Graz,Unknown,8010,Austria,218
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,219
"Classic Gift Ideas, Inc",Cervantes,Francisca,+12155554695,782 First Street,Philadelphia,PA,71270,USA,220
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,221
Canadian Gift Exchange Network,Tannamuri,Yoshi,+16045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,222
Auto Assoc. & Cie.,Tonini,Daniel,+3330598555,"67, avenue de l'Europe",Versailles,Unknown,78000,France,223
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,224
Super Scale Inc.,Murphy,Leslie,+12035559545,567 North Pendale Street,New Haven,CT,97823,USA,225
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,226
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,227
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,228
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,229
Auto Assoc. & Cie.,Tonini,Daniel,+3330598555,"67, avenue de l'Europe",Versailles,Unknown,78000,France,230
Canadian Gift Exchange Network,Tannamuri,Yoshi,+16045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,231
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,232
